Code,Name
Convert,Convert from Ag to native prairie
Threatened,Improve habitat for threatened grassland birds
Threatened,Improve habitat for threatened insects
Threatened,Improve habitat for threatened amphibians
Biodiversity,Increase plant biodiversity
Biodiversity,Increase wildlife population/biodiversity
Distrubance,"Maintain good quality habitat with disturbances (fire, etc.)"
Invasives,Maintain good quality habitat with invasive removal
Invasives,Control invasive vegetation that has established
Social,Engage local community for stewardship
Native,Conserve native plant species
Drought,Make habitat more drought tolerant
Social,Add trails and other visitor infrastructure
